,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
0,20171817,넛잡 2,캘런 브런커,20171003,2017,한국,애니메이션,91,전체관람가,윌 아넷,캐서린 헤이글,성룡,(주)레드로버
1,20165450,남한산성,황동혁,20171003,2017,한국,사극,140,15세이상관람가,이병헌,김윤석,박해일,(주)싸이런픽쳐스
