,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
89,20040734,노트북,닉 카사베츠,2004,20041126,장편,미국,멜로/로맨스,뉴라인 시네마
90,20168689,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,2003,20170125,장편,뉴질랜드,판타지,뉴라인 시네마
91,20030316,반지의 제왕 : 왕의 귀환,피터 잭슨,2003,20031217,장편,미국,판타지,뉴라인 시네마
92,20177081,드래곤빌리지<화이트니스타운을 구하라>,민경호,2017,20170530,장편,한국,애니메이션,(주)에픽캔
93,19940183,비버리 힐빌리즈,페넬로페 스피리스,1993,19940514,장편,미국,코미디,(주)에픽캔
94,20081148,풀메탈 빌리지,조성형,2006,20080828,장편,독일,다큐멘터리,(주)에픽캔
95,20040650,빌리지,M. 나이트 샤말란,2004,20040924,장편,미국,공포(호러),터치스톤 픽처스
96,20040498,그놈은 멋있었다,이환경,2004,20040722,장편,한국,코미디,엘티 픽쳐스
97,20040615,본 슈프리머시,폴 그린그래스,2004,20040820,장편,미국,액션,유니버셜 픽쳐스
98,20040696,레지던트 이블 2-아포칼립스,알렉산더 윗,2004,20041105,장편,미국,액션,(주)태원엔터테인먼트
99,20040625,얼굴 없는 미녀,김인식,2004,20040806,장편,한국,스릴러,(주)아이필름홀딩스
100,20040656,세상의 중심에서 사랑을 외치다,유키사다 이사오,2004,20041008,장편,일본,멜로/로맨스,도호쿠신샤
101,20040670,맨 온 파이어,토니 스콧,2004,20040924,장편,미국,액션,폭스2000픽처스
102,20030430,라스트 사무라이,에드워드 즈윅,2003,20040109,장편,미국,액션,폭스2000픽처스
103,20040446,그녀를 믿지 마세요,배형준,2004,20040220,장편,한국,코미디,㈜영화사시선
104,20030435,내사랑 싸가지,신동엽,2004,20040116,장편,한국,코미디,제이웰엔터테인먼트(주)
105,20040618,리딕 - 헬리온 최후의 빛,데이빗 토히,2004,20040813,장편,미국,SF,라다 픽쳐스
106,20119137,가필드 펫 포스 3D,마크 A.Z. 디페,2009,20110127,장편,미국,애니메이션,라다 픽쳐스
107,20090062,가필드-마법의 샘물,마크 A.Z. 디페,2008,20090219,장편,미국,애니메이션,라다 픽쳐스
108,20060194,가필드 2,팀 힐,2006,20060727,장편,미국,애니메이션,이십세기폭스필름코퍼레이션
109,20040616,가필드,피터 휴잇,2004,20040819,장편,미국,코미디,이십세기폭스필름코퍼레이션
110,20040706,알렉산더,올리버 스톤,2004,20041231,장편,미국,전쟁,워너브러더스사㈜
111,19960326,화니와 알렉산더 ,잉마르 베리만,1982,19961116,장편,스웨덴,드라마,고몽
112,20132963,알렉산더 : 절대 영웅의 탄생,이고르 카리오노프,2008,20130917,장편,러시아,액션,고몽
113,20080585,알렉산더 클루게 특별전-서펀틴 갤러리 프로그램,세르게이 M. 에이젠슈테인,,20080513,장편,독일,드라마,고몽
114,20080584,알렉산더 클루게 특별전-단편모음,세르게이 M. 에이젠슈테인,,20080513,장편,독일,드라마,고몽
115,20176326,텐프로 : 뉴페이스,야마우치 다이스케,2016,20170515,장편,일본,기타,리버 로드 엔터테인먼트
116,20178942,스페이스 비트윈 어스,피터 첼섬,2016,20170316,장편,미국,어드벤처,리버 로드 엔터테인먼트
117,20150977,좋아해줘,박현진,2015,20160217,장편,한국,멜로/로맨스,리양필름주식회사
118,20113951,페이스메이커,김달중,2011,20120118,장편,한국,드라마,(주)드림캡쳐
119,20175722,썸 - 은밀한 이야기 : 무삭제판,송정규,2017,20170522,장편,한국,기타,(주)스토리제이
120,20175101,썸 - 은밀한 이야기,송정규,2016,20170502,장편,한국,코미디,(주)스토리제이
121,20164856,자유부인 2017,윤대이,2016,20170404,장편,한국,멜로/로맨스,골든타이드픽처스(주)
122,20060164,착신아리 파이널,아소 마나부,2006,20060622,장편,일본,공포(호러),씨제이엔터테인먼트
123,20050072,착신아리2,츠카모토 렌페이,2004,20050429,장편,일본,공포(호러),가도가와픽쳐스
124,20040482,맹부삼천지교,김지영,2004,20040326,장편,한국,코미디,코리아 엔터테인먼트
125,20040484,하류인생,임권택,2004,20040521,장편,한국,액션,태흥영화(주)
126,20144721,따라지 : 비열한 거리,신동엽,2014,20150608,장편,한국,멜로/로맨스,디에스미디어
127,20040614,인형사,정용기,2004,20040730,장편,한국,공포(호러),(주)필마픽쳐스 
128,20040748,폴라 익스프레스,로버트 저메키스,2004,20041223,장편,미국,애니메이션,캐슬 락 엔터테인먼트
129,20098251,실종자,드로 소레프,2009,20150723,장편,미국,스릴러,캐슬 락 엔터테인먼트
130,20130667,포가튼 : 잊혀진 소녀,알렉스 슈미트,2012,20130905,장편,독일,드라마,캐슬 락 엔터테인먼트
131,20040715,포가튼,조셉 루벤,2004,20041203,장편,미국,스릴러,레볼루션 스튜디오
132,20040559,나두야 간다,정연원,2004,20040625,장편,한국,코미디,화이트리시네마
133,20040669,캣우먼,피토프,2004,20040924,장편,미국,액션,워너브러더스사㈜
134,20040526,첫키스만 50번째,피터 시걸,2004,20040415,장편,미국,코미디,콜럼비아 픽쳐스 필름 프로덕션
135,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,2004,20040312,장편,한국,코미디,㈜제니스엔터테인먼트
136,20080010,에이리언 VS 프레데터2 ,콜린 스트라우스,2007,20080117,장편,미국,SF,㈜제니스엔터테인먼트
137,20040648,에이리언 VS 프레데터,폴 W.S. 앤더슨,2004,20040903,장편,미국,SF,데이비스 엔터테인먼트 필름웍스
138,20040637,쓰리 몬스터,박찬욱,2004,20040820,옴니버스,한국,공포(호러),(주)영화사봄
139,20040610,화씨 911,마이클 무어,2004,20040722,장편,미국,다큐멘터리,도그 잇 도그 필름
140,20040676,스텝포드 와이프,프랭크 오즈,2004,20041001,장편,미국,코미디,스캇 루딘 프로덕션
