순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,웰컴 투 동막골,2005.8.4,"40,328,508,500",5.2%,"6,436,508",356,"72,108",한국,한국,(주)쇼박스
2,가문의 위기(가문의 영광2),2005.9.7,"28,622,355,500",3.7%,"4,529,876",351,"61,009",한국,한국,(주)쇼박스
3,말아톤,2005.1.27,"26,284,943,000",3.4%,"4,196,840",238,"59,493",한국,한국,(주)쇼박스
4,해리포터와 불의 잔,2005.12.1,"20,628,374,500",2.6%,"3,301,353",504,"40,260",미국,미국,워너브러더스 코리아(주)
5,아일랜드,2005.7.21,"20,363,994,500",2.6%,"3,218,811",340,"35,990",미국,미국,워너브러더스 코리아(주)
6,공공의 적 2,2005.1.27,"20,091,127,000",2.6%,"3,134,421",299,"40,642",한국,한국,(주)시네마서비스
7,친절한 금자씨,2005.7.29,"20,483,051,393",2.6%,"3,119,682",386,"41,438",한국,한국,씨제이엔터테인먼트
8,태풍,2005.12.14,"19,372,557,600",2.5%,"3,035,086",481,"36,678",한국,한국,씨제이엔터테인먼트
9,미스터 & 미세스 스미스,2005.6.16,"18,900,071,500",2.4%,"2,963,193",302,"45,087",미국,미국,이십세기폭스필름코퍼레이션
10,너는 내 운명,2005.9.23,"17,653,752,500",2.3%,"2,701,230",306,"46,667",한국,한국,씨제이엔터테인먼트
11,우주전쟁,2005.7.7,"16,758,594,690",2.1%,"2,642,874",401,"37,362",미국,미국,UIP코리아
12,마파도,2005.3.10,"16,751,202,503",2.1%,"2,636,857",178,"49,473",한국,한국,씨제이엔터테인먼트
13,내 생애 가장 아름다운 일주일,2005.10.7,"14,710,541,000",1.9%,"2,290,709",296,"41,056",한국,한국,씨제이엔터테인먼트
14,킹콩,2005.12.14,"13,690,627,700",1.8%,"2,211,462",319,"21,052",미국,미국,UIP코리아
15,박수칠 때 떠나라,2005.8.11,"13,181,626,500",1.7%,"2,073,641",237,"32,149",한국,한국,(주)시네마서비스
