순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,태극기 휘날리며,2004.2.5,"15,687,180,500",3.6%,"2,544,911",115,"22,375",한국,한국,(주)쇼박스
2,트로이,2004.5.21,"12,777,346,000",2.9%,"2,001,293",177,"21,245",미국,미국,워너브러더스 코리아(주)
3,내 머리 속의 지우개,2004.11.5,"11,919,939,500",2.7%,"1,885,827",206,"29,532",한국,한국,씨제이엔터테인먼트
4,귀신이 산다,2004.9.17,"11,898,748,500",2.7%,"1,875,936",174,"27,936",한국,한국,(주)시네마서비스
5,투모로우,2004.6.3,"11,658,584,500",2.6%,"1,830,767",164,"22,881",미국,미국,이십세기폭스필름코퍼레이션
6,우리 형,2004.10.8,"11,090,682,500",2.5%,"1,778,607",211,"29,282",한국,한국,씨제이엔터테인먼트
7,해리포터와 아즈카반의 죄수,2004.7.16,"10,926,127,000",2.5%,"1,775,031",228,"18,247",미국,미국,워너브러더스 코리아(주)
8,슈렉2,2004.6.18,"10,798,690,500",2.5%,"1,661,916",174,"22,853",미국,미국,씨제이엔터테인먼트
9,실미도,2003.12.24,"9,905,232,500",2.2%,"1,559,134",51,"13,460",한국,한국,(주)시네마서비스
10,스파이더맨 2,2004.6.30,"9,632,422,500",2.2%,"1,506,199",198,"18,165",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
11,바람의 파이터,2004.8.12,"9,158,945,500",2.1%,"1,442,299",110,"15,895",한국,한국,영화사청어람(주)
12,오페라의 유령,2004.12.8,"8,691,600,500",2.0%,"1,368,508",221,"17,699",미국,미국,씨제이엔터테인먼트
13,내 여자친구를 소개합니다,2004.6.3,"8,329,341,500",1.9%,"1,298,666",185,"19,289",한국,한국,"씨제이엔터테인먼트,아이러브시네마"
14,늑대의 유혹,2004.7.22,"8,025,959,500",1.8%,"1,297,296",123,"12,777",한국,한국,(주)쇼박스
15,가족,2004.9.3,"8,051,239,500",1.8%,"1,270,581",104,"25,473",한국,한국,(주)튜브엔터테인먼트
16,시실리 2km,2004.8.13,"8,049,487,000",1.8%,"1,263,196",86,"16,919",한국,한국,(주)쇼박스
