순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,검사외전,2016.2.3,"77,316,673,964",9.4%,"9,706,697","1,812","153,498",한국,한국,(주)쇼박스
2,캡틴 아메리카: 시빌 워,2016.4.27,"72,665,995,827",8.9%,"8,676,320","1,990","161,579",미국,미국,월트디즈니컴퍼니코리아(주)
3,곡성,2016.5.12,"55,839,078,882",6.8%,"6,876,880","1,485","129,959",한국,한국,이십세기폭스코리아(주)
4,주토피아,2016.2.17,"37,076,181,042",4.5%,"4,703,057",735,"130,893",미국,미국,월트디즈니컴퍼니코리아(주)
5,아가씨,2016.6.1,"35,117,078,091",4.3%,"4,275,502","1,171","89,725",한국,한국,씨제이이앤엠(주)
6,쿵푸팬더3,2016.1.28,"31,340,684,156",3.8%,"3,984,796","1,365","97,403",미국,미국,씨제이이앤엠(주)
7,귀향,2016.2.24,"27,246,030,990",3.3%,"3,586,523",876,"90,221",한국,한국,(주)와우픽쳐스
8,데드풀,2016.2.17,"27,595,519,651",3.4%,"3,317,184","1,036","82,521",미국,미국,이십세기폭스코리아(주)
9,엑스맨: 아포칼립스,2016.5.25,"24,436,042,450",3.0%,"2,934,879","1,258","66,270",미국,미국,이십세기폭스코리아(주)
10,히말라야,2015.12.16,"20,705,058,567",2.5%,"2,630,258",954,"61,665",한국,한국,씨제이이앤엠(주)
11,정글북,2016.6.9,"21,496,537,834",2.6%,"2,534,755",924,"58,949",미국,미국,월트디즈니컴퍼니코리아(주)
12,배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,"18,904,707,428",2.3%,"2,256,680","1,708","95,642",미국,미국,워너브러더스 코리아(주)
13,레버넌트: 죽음에서 돌아온 자,2016.1.14,"16,107,298,130",2.0%,"2,007,180",967,"55,063",미국,미국,이십세기폭스코리아(주)
14,내부자들: 디 오리지널,2015.12.31,"15,736,905,560",1.9%,"1,923,827",838,"45,598",한국,한국,(주)쇼박스
15,컨저링 2,2016.6.9,"15,654,447,529",1.9%,"1,916,111",640,"45,204",미국,미국,워너브러더스 코리아(주)
16,굿바이 싱글,2016.6.29,"15,303,889,175",1.9%,"1,910,071",841,"46,971",한국,한국,(주)쇼박스
17,인디펜던스 데이 : 리써전스,2016.6.22,"12,748,799,740",1.6%,"1,497,896",926,"47,287",미국,미국,이십세기폭스코리아(주)
18,탐정 홍길동: 사라진 마을,2016.5.4,"11,512,392,845",1.4%,"1,430,414",763,"40,977",한국,한국,씨제이이앤엠(주)
19,봉이 김선달,2016.7.6,"10,952,797,742",1.3%,"1,388,304",942,"31,029",한국,한국,씨제이이앤엠(주)
20,굿 다이노,2016.1.7,"9,756,149,238",1.2%,"1,328,911",814,"33,127",미국,미국,월트디즈니컴퍼니코리아(주)
21,셜록: 유령신부,2016.1.2,"9,992,346,049",1.2%,"1,278,885",891,"32,683",영국,영국,메가박스(주)플러스엠
22,특별수사: 사형수의 편지,2016.6.16,"9,929,883,065",1.2%,"1,241,874",690,"39,355",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
23,도리를 찾아서,2016.7.6,"10,106,109,198",1.2%,"1,235,365","1,091","30,540",미국,미국,월트디즈니컴퍼니코리아(주)
24,시간이탈자,2016.4.13,"9,730,496,195",1.2%,"1,202,168",733,"55,039",한국,한국,씨제이이앤엠(주)
25,동주,2016.2.17,"8,868,569,589",1.1%,"1,169,029",543,"39,878",한국,한국,메가박스(주)플러스엠
26,워크래프트: 전쟁의 서막,2016.6.9,"10,141,952,205",1.2%,"1,163,223",736,"34,090",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
27,오빠생각,2016.1.21,"8,061,135,287",1.0%,"1,069,962",855,"44,800",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
28,"날, 보러와요",2016.4.7,"8,834,986,063",1.1%,"1,063,265",682,"49,204",한국,한국,메가박스(주)플러스엠
29,미 비포 유,2016.6.1,"7,554,895,990",0.9%,"931,482",481,"27,893",미국,미국,워너브러더스 코리아(주)
30,갓 오브 이집트,2016.3.3,"7,621,302,624",0.9%,"919,835",618,"35,323",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
