영화명,최종관객수,Target,0누적관객수,0누적매출액,0스크린수,0상영횟수,1누적관객수,1누적매출액,1스크린수,1상영횟수,2누적관객수,2누적매출액,2스크린수,2상영횟수,3누적관객수,3누적매출액,3스크린수,3상영횟수,4누적관객수,4누적매출액,4스크린수,4상영횟수,5누적관객수,5누적매출액,5스크린수,5상영횟수,6누적관객수,6누적매출액,6스크린수,6상영횟수,7누적관객수,7누적매출액,7스크린수,7상영횟수,감독평균관객수,배우평균관객수,배급사개봉영화관객수합,기사수,대표국적_미국,대표국적_일본,대표국적_한국,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,장르_B,장르_C,장르_D,장르_E
극장판 도라에몽: 진구의 비밀도구 박물관,122362,1class,-0.676621198,-0.674598824,-0.945622905,-1.131836474,-0.732476684,-0.736224668,-0.975159355,-1.138241293,-0.755657252,-0.756348166,-0.99716928,-1.087786473,-0.757221806,-0.759062725,-0.988174114,-1.05175203,-0.74202485,-0.74574564,-0.974303311,-1.052643893,-0.72639106,-0.732943907,-0.937783771,-1.04740868,-0.721599872,-0.728120475,-1.311369958,-1.155123546,-0.710362478,-0.717746298,-1.120831703,-0.946058192,-0.663786168,-0.619190494,-0.234746511,-0.57108806,0,1,0,0,1,0,0,1,0,0
극장판 루팡 3세 VS 명탐정 코난,225842,1class,-0.713658241,-0.700245037,-0.957116197,-1.162175483,-0.772109521,-0.764504985,-1.015973881,-1.176328472,-0.716553014,-0.713660232,-0.719709909,-0.943261019,-0.68528532,-0.688565728,-0.692125489,-0.895412206,-0.702380371,-0.703281459,-1.06062556,-1.139297274,-0.709151932,-0.708856817,-1.142170189,-1.176253396,-0.675372243,-0.678737972,-0.889428001,-0.994699637,-0.668540321,-0.672430553,-1.00249931,-0.897768503,-0.641997496,-0.623147574,0.820958812,-0.57664806,0,1,0,0,0,0,0,1,0,0
극장판 소드 아트 온라인 -오디널 스케일-,117401,1class,-0.637474252,-0.626406273,-1.432172265,-1.272499151,-0.694899869,-0.686986774,-1.405567085,-1.261857575,-0.743726438,-0.729514441,-1.404577976,-1.22114687,-0.764180327,-0.749651197,-1.375055841,-1.173613869,-0.758282014,-0.745576918,-1.388650106,-1.17109096,-0.753972065,-0.742207568,-1.401302969,-1.199261381,-0.744859443,-0.733381684,-1.358656556,-1.145138655,-0.732876592,-0.723098077,-1.106040154,-0.905466859,-0.71199351,-0.699646788,-1.311774297,-0.57108806,0,1,0,0,0,0,0,1,0,0
극장판 아이엠스타 : 꿈의 오디션!,141351,1class,-0.584279584,-0.5779838,-0.987764975,-1.10494508,-0.669370548,-0.666686872,-1.034525939,-1.10082231,-0.656353472,-0.651737571,-0.944487121,-1.007149954,-0.6725028,-0.668186458,-0.93771128,-0.96852931,-0.688811576,-0.683984445,-1.140042029,-1.063865194,-0.692748309,-0.687731397,-1.171368249,-1.083564085,-0.696290077,-0.690618231,-1.391393432,-1.173762008,-0.689947184,-0.685168692,-1.091248605,-0.936960135,-0.69653437,-0.765038588,0.820958812,-0.548848062,0,1,0,0,1,0,0,1,0,0
극장판 안녕 자두야,280460,1class,-0.678080091,-0.667042703,-0.501215615,-1.026339467,-0.380870133,-0.367617167,0.123122439,-0.68587252,-0.426968473,-0.421246964,-0.098060432,-0.768962081,-0.509666318,-0.506324866,-0.18749715,-0.740855726,-0.526459488,-0.523392143,-0.14906261,-0.726602755,-0.549852901,-0.54540201,-0.715148566,-1.066472439,-0.567502957,-0.561598746,-0.845778833,-1.042627111,-0.573258299,-0.567413533,-0.603127483,-0.824284194,-0.607044349,-0.763464148,0.820958812,-0.532168063,0,0,1,0,1,0,0,1,0,0
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,330725,1class,-0.680558639,-0.667843478,-0.642966216,-1.087707007,-0.724763267,-0.719563377,-0.641222323,-1.086790192,-0.768052831,-0.754307555,-0.642442742,-1.052430461,-0.704514237,-0.693877688,-0.480181586,-0.907895614,-0.63864512,-0.630622247,-0.356236008,-0.858764746,-0.63084229,-0.62482062,-0.52171142,-0.938285094,-0.618575477,-0.614343222,-0.438386598,-0.839601003,-0.607336305,-0.60479554,-0.751042974,-0.857877021,-0.503313847,-0.678843015,0.820958812,-0.559968061,0,1,0,0,1,0,0,1,0,0
극장판 요괴워치: 탄생의 비밀이다냥!,550961,2class,-0.479521697,-0.483846045,-0.233038802,-0.703642737,-0.543020617,-0.557227867,-0.277602,-0.709259384,-0.607839837,-0.618374115,-0.305276924,-0.687085,-0.511049424,-0.533168228,-0.079843104,-0.496537598,-0.432040988,-0.460940568,-0.021305681,-0.489708621,-0.42101717,-0.451215362,-0.2917767,-0.619460158,-0.408696066,-0.439764576,-0.194678744,-0.520084503,-0.393021991,-0.424938652,-0.244432416,-0.510751139,-0.432291527,-0.765038588,0.820958812,-0.57664806,0,1,0,0,1,0,0,1,0,0
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,100151,1class,-0.71973696,-0.705890071,-1.05289363,-1.244228711,-0.779898429,-0.771904035,-1.105023757,-1.261189379,-0.779580107,-0.767285181,-0.642442742,-1.032581471,-0.768344598,-0.75773183,-0.634934277,-0.991712782,-0.768597883,-0.758353628,-1.133136249,-1.19103994,-0.768416848,-0.758419276,-1.123921402,-1.20517772,-0.76581221,-0.756006188,-1.096761548,-1.124503214,-0.755272819,-0.746939965,-1.061665507,-0.943958641,-0.723190574,-0.709308985,-1.158881842,-0.57664806,0,1,0,0,1,0,0,0,0,0
극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,110771,1class,-0.642541158,-0.637265175,-1.206137523,-1.223543023,-0.733777795,-0.731935788,-1.257150627,-1.248493653,-0.74593894,-0.743058727,-1.018242143,-1.07227945,-0.744248642,-0.743428109,-1.048729515,-1.045213102,-0.748757721,-0.746542877,-1.247081618,-1.170467555,-0.749878489,-0.74722203,-1.262612186,-1.188086074,-0.736875372,-0.735204152,-1.340469403,-1.153126568,-0.729077782,-0.72804145,-1.176300013,-0.959355353,-0.723190574,-0.733792825,-0.234746511,-0.58220806,0,1,0,0,1,0,0,1,0,0
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,233347,1class,-0.612720142,-0.610555518,-0.658290605,-0.915326275,-0.581934069,-0.595502129,-0.585566151,-0.880985787,-0.657216208,-0.664368534,-0.642442742,-0.878751804,-0.62129422,-0.632882255,-0.581107254,-0.769983678,-0.579790752,-0.594004962,-0.511616056,-0.746551735,-0.591808064,-0.604068161,-0.653102689,-0.878464333,-0.597255308,-0.608092043,-0.569334102,-0.779691659,-0.598564229,-0.608606978,-0.765834524,-0.839680906,-0.615884137,-0.765038588,-0.234746511,-0.559968061,0,1,0,0,1,0,0,1,0,0
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",321602,1class,-0.391525386,-0.43488702,-0.539526588,-0.886366313,-0.483724563,-0.528924231,-0.463122573,-0.846239589,-0.425153943,-0.485046924,-0.396592667,-0.701971742,-0.440411937,-0.500536783,-0.466724831,-0.697461022,-0.491628683,-0.541698338,-0.704977894,-0.823854032,-0.506481243,-0.552652319,-0.656752447,-0.817986201,-0.517572395,-0.560118268,-0.652995007,-0.761053196,-0.522660761,-0.562223676,-0.52547185,-0.74590093,-0.615884137,-0.722628784,0.820958812,-0.58220806,0,1,0,0,1,0,0,1,0,0
극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,287975,1class,-0.151984665,-0.479681422,-0.899649737,-0.960834789,-0.453741266,-0.647270042,-1.257150627,-1.247157261,-0.620950653,-0.739891039,-1.306237946,-1.209981814,-0.635209392,-0.750193553,-1.028544381,-0.925729054,-0.607585499,-0.730375637,-0.963944641,-0.897415894,-0.615260847,-0.730100569,-1.036327223,-1.016512243,-0.562909827,-0.702936532,-0.969451475,-0.913489193,-0.565562625,-0.696747975,-0.902656353,-0.849478814,-0.615884137,-0.765038588,-1.442012194,-0.58220806,0,1,0,0,1,0,0,1,0,0
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,348991,1class,-0.018872498,-0.362697979,-0.754068038,-0.876712992,-0.376553817,-0.580169295,-1.145838283,-1.208401886,-0.570522299,-0.697591004,-1.17628862,-1.165321588,-0.588637956,-0.712151293,-0.873791691,-0.831211822,-0.560447938,-0.692053684,-0.805111703,-0.798917807,-0.571433459,-0.694303904,-0.879387652,-0.942886691,-0.511048296,-0.660302736,-0.827591679,-0.838935343,-0.517016533,-0.656603416,-0.776928186,-0.801189125,-0.615884137,-0.765038588,0.820958812,-0.58220806,0,1,0,0,1,0,0,1,0,0
극적인 하룻밤,321641,1class,-0.471709563,-0.451192109,-0.328816235,-0.127891094,-0.490882897,-0.467156468,-0.340678995,-0.143965467,-0.499994963,-0.469316109,-0.298252636,-0.172251838,-0.525405695,-0.495835329,-0.372527541,-0.230224895,-0.546437056,-0.522295475,-0.421840917,-0.231618695,-0.546654794,-0.523935607,-0.357472334,-0.205316428,-0.544496351,-0.522392829,-0.249240204,-0.121354538,-0.541474121,-0.520707369,-0.188964106,-0.379179233,-0.614595768,-0.611601805,-1.122663669,0.196191886,0,0,1,0,0,1,1,0,0,0
글로리데이,189405,1class,-0.564843372,-0.539840126,-0.179403439,-0.487822062,-0.618476212,-0.599759746,-0.195972947,-0.493432038,-0.633849958,-0.613648609,-0.087524,-0.522090276,-0.652285149,-0.634416237,-0.180768772,-0.56727691,-0.664475864,-0.64942754,-0.311348438,-0.578232218,-0.66514998,-0.65098622,-0.182283976,-0.547149348,-0.664469432,-0.652559571,-0.529322365,-0.854245509,-0.659541286,-0.648812285,-0.477399315,-0.662618713,-0.665555417,-0.765038588,-1.39212129,0.023831898,0,0,1,1,0,0,1,0,0,0
기생수 파트1,187310,1class,-0.606092378,-0.583288416,-1.029907046,-1.047025154,-0.646949686,-0.626063285,-1.023394704,-1.042021052,-0.672778866,-0.645675172,-0.972584272,-1.004048549,-0.690460755,-0.664591718,-0.961260603,-0.969123758,-0.690523171,-0.668278238,-0.981209091,-0.936690448,-0.68715029,-0.666045569,-0.959682316,-0.94222932,-0.680967598,-0.660556953,-0.834866541,-0.82096254,-0.672136409,-0.653537018,-0.751042974,-0.741701827,-0.625612099,-0.722607804,-1.255243573,-0.559968061,0,1,0,0,0,1,0,0,1,0
