순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,해운대,2009.7.22,"81,025,004,000",7.5%,"11,324,433",764,"154,277",한국,한국,씨제이엔터테인먼트
2,국가대표,2009.7.29,"57,570,773,000",5.3%,"8,035,181",570,"131,671",한국,한국,(주)쇼박스
3,트랜스포머: 패자의 역습,2009.6.24,"50,697,608,000",4.7%,"7,392,990","1,154","115,137",미국,미국,씨제이엔터테인먼트
4,2012,2009.11.12,"38,886,883,500",3.6%,"5,390,201",856,"88,814",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
5,아바타,2009.12.17,"43,441,164,500",4.0%,"5,150,667",917,"50,642",미국,미국,이십세기폭스코리아(주)
6,터미네이터 : 미래전쟁의 시작,2009.5.21,"29,690,943,500",2.7%,"4,499,776",702,"93,745",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
7,7급 공무원,2009.4.22,"26,380,710,000",2.4%,"4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
8,과속스캔들,2008.12.3,"25,293,891,900",2.3%,"3,861,757",371,"83,259",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
9,쌍화점,2008.12.30,"22,493,822,400",2.1%,"3,296,474",532,"67,144",한국,한국,(주)쇼박스
10,거북이 달린다,2009.6.11,"20,618,276,000",1.9%,"3,024,666",432,"69,946",한국,한국,(주)쇼박스
11,마더,2009.5.28,"19,967,362,500",1.8%,"2,979,213",642,"71,401",한국,한국,씨제이엔터테인먼트
12,해리 포터와 혼혈 왕자,2009.7.15,"20,267,293,000",1.9%,"2,957,706",751,"48,112",미국,미국,워너브러더스 코리아(주)
13,워낭소리,2009.1.15,"19,074,728,900",1.8%,"2,933,897",274,"63,196",한국,한국,㈜인디스토리
14,적벽대전 2 : 최후의 결전,2009.1.22,"17,782,372,500",1.6%,"2,694,436",426,"45,952",중국,중국,(주)쇼박스
15,지.아이.조 : 전쟁의 서막,2009.8.6,"19,583,497,500",1.8%,"2,665,874",446,"54,820",미국,미국,씨제이엔터테인먼트
16,굿모닝 프레지던트,2009.10.22,"18,567,863,300",1.7%,"2,554,960",586,"69,955",한국,한국,씨제이엔터테인먼트
17,전우치,2009.12.23,"17,747,602,000",1.6%,"2,453,883",612,"29,179",한국,한국,씨제이엔터테인먼트
18,박쥐,2009.4.30,"14,835,490,500",1.4%,"2,205,600",499,"45,395",한국,"한국,미국,호주",씨제이엔터테인먼트
19,내 사랑 내 곁에,2009.9.24,"15,584,755,500",1.4%,"2,135,509",478,"65,168",한국,한국,씨제이엔터테인먼트
20,박물관이 살아있다 2,2009.6.4,"12,399,745,500",1.1%,"1,972,440",569,"53,628",미국,미국,이십세기폭스코리아(주)
21,뉴 문,2009.12.2,"13,851,280,000",1.3%,"1,930,895",545,"46,508",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
22,천사와 악마,2009.5.14,"12,541,341,000",1.2%,"1,906,687",543,"47,459",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
23,애자,2009.9.9,"13,633,710,500",1.3%,"1,901,694",376,"65,490",한국,한국,(주)시너지하우스 (시너지)
24,그림자 살인,2009.4.2,"12,659,065,000",1.2%,"1,892,467",387,"54,046",한국,한국,씨제이엔터테인먼트
25,작전명 발키리,2009.1.22,"11,875,231,500",1.1%,"1,784,165",372,"36,947",미국,"미국,독일",이십세기폭스코리아(주)
26,차우,2009.7.15,"12,531,840,500",1.2%,"1,778,843",397,"41,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
27,벤자민 버튼의 시간은 거꾸로 간다,2009.2.12,"11,427,379,500",1.1%,"1,739,997",313,"39,750",미국,미국,워너브러더스 코리아(주)
28,불꽃처럼 나비처럼,2009.9.24,"12,302,961,500",1.1%,"1,670,652",441,"57,300",한국,한국,(주)쇼박스
29,유감스러운 도시,2009.1.22,"10,289,635,500",0.9%,"1,532,632",375,"35,055",한국,한국,씨제이엔터테인먼트
30,작전,2009.2.12,"10,086,067,500",0.9%,"1,517,096",393,"50,216",한국,한국,(주)쇼박스
31,닌자 어쌔신,2009.11.26,"10,120,033,000",0.9%,"1,329,403",308,"36,980",미국,미국,워너브러더스 코리아(주)
32,청담보살,2009.11.11,"9,563,845,500",0.9%,"1,301,582",387,"42,791",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
33,엑스맨 탄생: 울버린,2009.4.30,"8,408,135,000",0.8%,"1,280,734",412,"33,893",미국,미국,이십세기폭스코리아(주)
34,킹콩을 들다,2009.7.1,"8,851,762,500",0.8%,"1,262,850",411,"42,626",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
35,마다가스카 2,2009.1.8,"7,541,491,500",0.7%,"1,230,469",381,"34,346",미국,미국,씨제이엔터테인먼트
36,인사동 스캔들,2009.4.29,"7,780,811,000",0.7%,"1,187,684",305,"33,106",한국,한국,에스케이텔레콤(주)
37,셜록 홈즈,2009.12.23,"8,242,461,500",0.8%,"1,131,441",381,"18,198",미국,"미국,영국",워너브러더스 코리아(주)
38,슬럼독 밀리어네어,2009.3.19,"7,343,041,500",0.7%,"1,106,420",201,"32,738",영국,"영국,미국",씨제이엔터테인먼트
39,스타 트렉: 더 비기닝,2009.5.7,"7,247,898,500",0.7%,"1,085,281",391,"31,957",미국,미국,씨제이엔터테인먼트
40,노잉,2009.4.16,"6,873,827,000",0.6%,"1,047,062",394,"31,259",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
41,시크릿,2009.12.3,"7,951,016,500",0.7%,"1,042,613",408,"34,398",한국,한국,씨제이엔터테인먼트
42,업,2009.7.29,"7,527,426,000",0.7%,"1,030,818",392,"23,253",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
43,백야행,2009.11.19,"7,120,680,000",0.7%,"949,770",387,"30,346",한국,한국,(주)시네마서비스
44,트랜스포터-라스트 미션,2009.1.8,"6,244,302,000",0.6%,"937,224",267,"27,731",프랑스,프랑스,(주)시너지하우스 (시너지)
45,그는 당신에게 반하지 않았다,2009.2.12,"6,375,549,000",0.6%,"935,168",354,"27,237",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
46,아이스 에이지 3: 공룡시대,2009.8.12,"6,110,616,000",0.6%,"865,658",367,"22,461",미국,미국,이십세기폭스필름코퍼레이션
47,블랙,2009.8.27,"6,157,393,500",0.6%,"861,570",248,"29,278",인도,인도,(주)넥스트엔터테인먼트월드(NEW)
48,디스트릭트 9,2009.10.15,"6,420,372,500",0.6%,"841,125",316,"33,794",미국,"미국,뉴질랜드",한국소니픽쳐스릴리징브에나비스타영화㈜
49,마린보이,2009.2.5,"5,503,176,500",0.5%,"827,647",340,"26,345",한국,한국,씨제이엔터테인먼트
50,모범시민,2009.12.10,"5,854,620,000",0.5%,"796,799",312,"24,341",미국,미국,(주)시너지하우스 (시너지)
51,써로게이트,2009.10.1,"5,925,561,500",0.5%,"794,475",228,"26,812",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
52,시간 여행자의 아내,2009.10.28,"5,402,979,500",0.5%,"728,149",282,"33,304",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
53,김씨표류기,2009.5.14,"4,736,518,000",0.4%,"724,987",273,"25,946",한국,한국,(주)시네마서비스
54,푸시,2009.3.19,"4,742,733,000",0.4%,"715,887",258,"29,433",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
55,슬픔보다 더 슬픈 이야기,2009.3.11,"4,724,214,000",0.4%,"715,800",353,"35,118",한국,한국,(주)쇼박스
56,볼트,2008.12.31,"4,530,509,500",0.4%,"685,502",317,"22,181",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
