순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,디워,2007.8.1,"49,339,934,700",5.1%,"7,855,441",622,"96,434",한국,한국,(주)쇼박스
2,트랜스포머,2007.6.28,"47,619,379,338",4.9%,"7,389,696",863,"92,291",미국,미국,씨제이엔터테인먼트
3,화려한 휴가,2007.7.25,"44,098,449,600",4.6%,"6,855,300",551,"96,522",한국,한국,씨제이엔터테인먼트
4,스파이더맨 3,2007.5.1,"29,511,658,000",3.1%,"4,592,309",806,"79,966",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
5,캐리비안의 해적: 세상의 끝에서,2007.5.23,"29,133,447,500",3.0%,"4,571,229",953,"78,007",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
6,해리 포터와 불사조 기사단,2007.7.11,"22,899,775,300",2.4%,"3,691,060",768,"52,349",미국,미국,워너브러더스 코리아(주)
7,다이 하드 4 : 죽어도 산다,2007.7.17,"20,622,308,900",2.1%,"3,176,937",528,"47,011",미국,미국,이십세기폭스필름코퍼레이션
8,그놈 목소리,2007.2.1,"17,598,617,600",1.8%,"2,972,299",498,"48,673",한국,한국,씨제이엔터테인먼트
9,식객,2007.11.1,"18,972,140,500",2.0%,"2,963,196",406,"67,138",한국,한국,씨제이엔터테인먼트
10,300,2007.3.14,"18,683,698,500",1.9%,"2,929,561",402,"60,856",미국,미국,워너브러더스 코리아(주)
11,미녀는 괴로워,2006.12.14,"17,373,409,400",1.8%,"2,856,615",365,"50,452",한국,한국,(주)쇼박스
12,슈렉3,2007.6.6,"17,896,938,500",1.9%,"2,826,621",620,"64,615",미국,미국,씨제이엔터테인먼트
13,1번가의 기적,2007.2.14,"15,494,034,100",1.6%,"2,535,431",340,"54,562",한국,한국,씨제이엔터테인먼트
14,나는 전설이다,2007.12.12,"15,166,253,000",1.6%,"2,322,318",447,"37,992",미국,미국,워너브러더스 코리아(주)
15,황금 나침반,2007.12.18,"14,566,840,000",1.5%,"2,297,587",492,"33,593",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
16,바르게 살자,2007.10.18,"13,944,930,000",1.4%,"2,135,606",372,"55,993",한국,한국,씨제이엔터테인먼트
17,극락도 살인사건,2007.4.12,"13,328,932,000",1.4%,"2,079,989",368,"54,098",한국,한국,"(주)엠케이픽처스 ,(주)두엔터테인먼트"
18,세븐 데이즈,2007.11.14,"13,642,111,000",1.4%,"2,036,035",305,"46,693",한국,한국,(주)프라임엔터테인먼트
19,사랑,2007.9.19,"13,446,137,500",1.4%,"2,023,174",381,"54,789",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
20,본 얼티메이텀,2007.9.12,"13,205,549,000",1.4%,"1,992,304",332,"48,577",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
21,어거스트 러쉬,2007.11.29,"12,390,878,000",1.3%,"1,935,790",271,"34,247",미국,미국,씨제이엔터테인먼트
22,박물관이 살아있다!,2006.12.21,"11,057,214,900",1.1%,"1,908,794",338,"34,043",미국,미국,이십세기폭스코리아(주)
23,"색, 계",2007.11.8,"12,399,090,500",1.3%,"1,888,671",258,"38,097",미국,미국,씨제이엔터테인먼트
24,바람피기 좋은 날,2007.2.8,"10,738,188,900",1.1%,"1,708,973",372,"39,986",한국,한국,(주)시네마서비스
25,색즉시공 시즌2,2007.12.12,"11,431,876,000",1.2%,"1,703,097",390,"31,551",한국,한국,씨제이엔터테인먼트
26,밀양,2007.5.23,"10,266,199,000",1.1%,"1,603,799",305,"41,425",한국,한국,(주)시네마서비스
27,권순분여사 납치사건,2007.9.12,"9,807,862,000",1.0%,"1,514,708",397,"46,725",한국,한국,(주)시네마서비스
28,복면달호,2007.2.14,"9,008,143,000",0.9%,"1,507,970",310,"41,977",한국,한국,㈜스튜디오이쩜영
29,마파도2,2007.1.18,"8,362,778,700",0.9%,"1,407,141",340,"30,784",한국,한국,씨제이엔터테인먼트
30,오션스 써틴,2007.6.14,"9,119,810,300",0.9%,"1,371,214",271,"32,636",미국,미국,워너브러더스 코리아(주)
31,궁녀,2007.10.18,"9,038,167,500",0.9%,"1,358,883",368,"42,096",한국,한국,(주)시네마서비스
32,검은 집,2007.6.21,"8,841,047,700",0.9%,"1,321,947",332,"39,830",한국,한국,씨제이엔터테인먼트
33,허브,2007.1.11,"7,644,307,000",0.8%,"1,302,952",267,"30,258",한국,한국,(주)쇼박스
34,만남의 광장,2007.8.15,"7,819,284,000",0.8%,"1,211,528",256,"28,301",한국,한국,(주)쇼박스
