순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,괴물,2006.7.27,"66,715,713,300",7.5%,"10,917,153",647,"113,073",한국,한국,(주)쇼박스
2,왕의 남자,2005.12.29,"61,605,851,900",6.9%,"9,793,917",313,"106,179",한국,한국,(주)시네마서비스
3,타짜,2006.9.28,"36,180,800,700",4.1%,"5,685,441",492,"76,872",한국,한국,씨제이엔터테인먼트
4,미션 임파서블 3,2006.5.3,"32,154,883,400",3.6%,"5,127,003",441,"72,573",미국,미국,UIP코리아
5,투사부일체,2006.1.19,"31,959,686,000",3.6%,"5,074,314",407,"54,339",한국,한국,씨제이엔터테인먼트
6,캐리비안의 해적 : 망자의 함,2006.7.6,"23,832,939,000",2.7%,"3,911,617",456,"49,636",미국,미국,브에나비스타인터내셔널코리아
7,한반도,2006.7.13,"20,597,497,600",2.3%,"3,331,593",483,"49,539",한국,한국,씨제이엔터테인먼트
8,미녀는 괴로워,2006.12.14,"18,919,439,500",2.1%,"3,224,865",418,"36,689",한국,한국,(주)쇼박스
9,다빈치 코드,2006.5.18,"18,873,057,800",2.1%,"3,022,936",514,"42,856",미국,미국,소니픽쳐스릴리징코리아
10,가문의 부활 - 가문의 영광3,2006.9.21,"15,996,330,400",1.8%,"2,598,859",444,"51,434",한국,한국,(주)쇼박스
11,우리들의 행복한 시간,2006.9.14,"14,938,308,000",1.7%,"2,472,035",414,"47,297",한국,한국,(주)프라임엔터테인먼트
12,박물관이 살아있다!,2006.12.21,"13,344,327,300",1.5%,"2,336,453",345,"22,483",미국,미국,이십세기폭스코리아(주)
13,포세이돈,2006.5.31,"14,588,094,300",1.6%,"2,316,695",338,"43,841",미국,미국,워너브러더스 코리아(주)
14,음란서생,2006.2.23,"14,944,528,700",1.7%,"2,304,365",347,"38,964",한국,한국,씨제이엔터테인먼트
15,"달콤, 살벌한 연인",2006.4.6,"13,426,707,100",1.5%,"2,077,590",246,"38,034",한국,한국,씨제이엔터테인먼트
16,맨발의 기봉이,2006.4.26,"12,239,242,400",1.4%,"2,005,180",271,"39,975",한국,한국,(주)쇼박스
17,비열한 거리,2006.6.15,"11,664,597,600",1.3%,"1,829,887",306,"34,064",한국,한국,씨제이엔터테인먼트
18,엑스맨 : 최후의 전쟁,2006.6.15,"11,275,475,200",1.3%,"1,793,310",373,"38,570",미국,미국,이십세기폭스코리아(주)
19,사생결단,2006.4.27,"10,934,307,100",1.2%,"1,724,709",288,"33,257",한국,한국,씨제이이앤엠(주)
20,수퍼맨 리턴즈,2006.6.28,"10,825,645,300",1.2%,"1,702,765",366,"29,982",미국,미국,워너브러더스 코리아(주)
21,구세주,2006.2.16,"10,087,308,700",1.1%,"1,621,131",206,"31,939",한국,한국,쇼이스트(주)
22,라디오 스타,2006.9.28,"9,860,721,500",1.1%,"1,590,666",244,"38,926",한국,한국,(주)시네마서비스
23,청춘만화,2006.3.23,"9,785,168,000",1.1%,"1,567,514",298,"32,939",한국,한국,(주)쇼박스
24,흡혈형사 나도열,2006.2.9,"9,693,558,300",1.1%,"1,563,579",243,"30,494",한국,한국,(주)쇼박스
25,"나니아 연대기-사자,마녀 그리고 옷장",2005.12.29,"9,409,604,700",1.1%,"1,546,914",261,"23,325",미국,미국,브에나비스타인터내셔널코리아
26,거룩한 계보,2006.10.19,"8,759,204,600",1.0%,"1,433,696",372,"32,111",한국,한국,씨제이엔터테인먼트
27,악마는 프라다를 입는다,2006.10.25,"8,286,577,600",0.9%,"1,366,933",209,"31,230",미국,미국,이십세기폭스코리아(주)
28,해바라기,2006.11.23,"7,834,688,400",0.9%,"1,304,892",246,"31,829",한국,한국,(주)쇼박스
29,각설탕,2006.8.10,"7,631,785,700",0.9%,"1,265,508",228,"25,009",한국,한국,씨제이엔터테인먼트
30,킹콩,2005.12.14,"7,785,425,200",0.9%,"1,257,849",235,"17,343",미국,미국,UIP코리아
31,홀리데이,2006.1.19,"7,885,116,000",0.9%,"1,257,399",170,"22,092",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
32,중천,2006.12.21,"7,481,599,100",0.8%,"1,246,836",402,"23,621",한국,"한국,중국",씨제이엔터테인먼트
33,싸움의 기술,2006.1.5,"7,319,136,000",0.8%,"1,144,825",216,"23,066",한국,한국,씨제이엔터테인먼트
34,몬스터 하우스,2006.8.10,"6,554,794,000",0.7%,"1,051,552",192,"17,501",미국,미국,소니픽쳐스릴리징코리아
35,짝패,2006.5.25,"6,585,332,300",0.7%,"1,021,631",210,"24,404",한국,한국,씨제이엔터테인먼트
36,로맨틱 홀리데이,2006.12.14,"6,377,839,500",0.7%,"1,017,603",249,"18,292",미국,미국,UIP코리아
37,아랑,2006.6.28,"5,726,173,700",0.6%,"951,834",181,"22,805",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
38,빨간모자의 진실,2006.4.6,"5,506,266,100",0.6%,"915,672",164,"20,653",미국,미국,(주)쇼박스
39,데이지,2006.3.9,"5,754,065,300",0.6%,"911,420",299,"23,767",한국,"한국,네덜란드,홍콩",(주)쇼박스
40,오만과 편견,2006.3.24,"5,516,608,900",0.6%,"882,967",157,"20,327",미국,미국,UIP코리아
41,게이샤의 추억,2006.2.2,"5,337,760,000",0.6%,"849,251",179,"14,464",미국,미국,소니픽쳐스릴리징코리아
42,헷지,2006.5.31,"5,043,700,100",0.6%,"837,588",276,"18,257",미국,미국,씨제이엔터테인먼트
43,야수,2006.1.12,"5,339,725,500",0.6%,"837,011",299,"19,254",한국,한국,(주)쇼박스
44,마음이...,2006.10.26,"4,639,479,300",0.5%,"817,893",239,"24,140",한국,한국,(주)쇼박스
45,007 카지노 로얄,2006.12.21,"4,991,296,000",0.6%,"811,405",334,"15,383",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
46,예의없는 것들,2006.8.24,"4,886,772,800",0.5%,"782,907",192,"17,807",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
47,방과후 옥상,2006.3.16,"4,817,252,500",0.5%,"773,042",173,"20,063",한국,한국,(주)시네마서비스
48,일본침몰,2006.8.31,"4,672,989,200",0.5%,"773,025",211,"16,530",일본,일본,(주)시네마서비스
