,movieCd,movieNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
2858,20140194,곡성,156,15세이상관람가,곽도원,황정민,쿠니무라 준,사이드미러
2859,19720099,설야의 여곡성,75,12세이상관람가,김석훈,윤세희,,세기상사㈜
2860,19860053,여곡성,95,국민학생관람불가,김윤희,홍윤정,최두열,국제
2861,20155501,주토피아,108,전체관람가,지니퍼 굿윈,제이슨 베이트먼,샤키라,월트디즈니컴퍼니코리아(주)
2862,20166061,모텔아가씨-녹는 육체,61,청소년관람불가,수오 유키코,,,(주)도키엔터테인먼트
2863,20144444,아가씨,145,청소년관람불가,김민희,김태리,하정우,유한회사 아가씨에프에스
2864,19780053,나는 77번 아가씨,110,12세이상관람가,정윤희,김희라,하명중,합동영화사
2865,20161364,귀향,127,15세이상관람가,손숙,강하나,서미지,제이오엔터테인먼트
2866,20153781,데드풀,108,청소년관람불가,라이언 레놀즈,모레나 바카린,에드 스크레인,이십세기폭스코리아(주)
2867,20150523,엑스맨: 아포칼립스,145,12세이상관람가,제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,이십세기폭스코리아(주)
2868,20162967,정글북,106,12세이상관람가,닐 세티,빌 머레이,스칼렛 요한슨,월트디즈니컴퍼니코리아(주)
2869,20030011,정글북 2,72,전체관람가,존 굿맨,할리 조엘 오스먼트,,월트디즈니코리아㈜
2870,19950078,정글북,110,연소자관람가,제이슨 스콧 리,샘 닐,,월트 디즈니 픽쳐스
2871,20154001,레버넌트: 죽음에서 돌아온 자,156,15세이상관람가,레오나르도 디카프리오,톰 하디,,이십세기폭스코리아(주)
2872,20150972,굿바이 싱글,120,15세이상관람가,김혜수,마동석,김현수,호두앤유 엔터테인먼트(주)
2873,20150782,인디펜던스 데이 : 리써전스,120,12세이상관람가,빌 풀만,리암 헴스워스,제프 골드블럼,이십세기폭스코리아(주)
2874,20142406,탐정 홍길동: 사라진 마을,125,15세이상관람가,이제훈,김성균,박근형,(주)영화사비단길
2875,20159644,봉이 김선달,121,12세이상관람가,유승호,조재현,고창석,(주)엠픽처스
2876,20155422,굿 다이노,100,전체관람가,,,,월트디즈니컴퍼니코리아(주)
2877,20157042,셜록: 유령신부,115,12세이상관람가,베네딕트 컴버배치,마틴 프리먼,,메가박스(주)플러스엠
2878,20159645,특별수사: 사형수의 편지,120,15세이상관람가,김명민,김상호,성동일,(주)콘텐츠케이
