,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
3156,20136068,히말라야,이석훈,2015,20151216,장편,한국,드라마,(주)제이케이필름
3157,20090075,"히말라야, 바람이 머무는 곳",전수일,2008,20090611,장편,한국,드라마,쇼이스트(주)
3158,20151225,인사이드 아웃,피트 닥터,2014,20150709,장편,미국,애니메이션,신현원프로덕션
3159,20151383,마션,리들리 스콧,2015,20151008,장편,미국,액션,한국영화아카데미
3160,20149570,조선명탐정 : 사라진 놉의 딸,김석윤,2014,20150211,장편,한국,사극,청년필름(주)
3161,20144741,매드 맥스: 분노의 도로,조지 밀러,2015,20150514,장편,미국,액션,청년필름(주)
3162,20162861,인턴 간호사의 아주 특별한 경험,오쿠 와타루,2015,20160331,장편,일본,멜로/로맨스,청년필름(주)
3163,20152022,인턴,낸시 마이어스,2015,20150924,장편,미국,코미디,청년필름(주)
3164,20143580,분노의 질주: 더 세븐,제임스 완,2015,20150401,장편,미국,액션,청년필름(주)
3165,20141384,터미네이터 제니시스,앨런 테일러,2015,20150702,장편,미국,액션,청년필름(주)
3166,20010064,스물넷,임종재,2001,20020315,장편,한국,드라마,(주)박철수필름
3167,20119769,스물 아홉살,전화성,2011,20110307,장편,한국,드라마,씨엔티테크(주)
3168,19920041,스물일곱 송이 장미,신승수,1991,19920329,장편,한국,드라마,(주)연흥아세아
3169,19830067,"인간시장, 작은 악마 스물두살의 자서전",김효천,1983,19830709,장편,한국,드라마,(주)동협상사
3170,20148855,극비수사,곽경택,2014,20150618,장편,한국,드라마,(주)제이콘컴퍼니
3171,20155702,앤트맨,페이튼 리드,2015,20150903,장편,미국,액션,(주)제이콘컴퍼니
3172,20149951,빅 히어로,돈 홀,2014,20150121,장편,미국,애니메이션,(주)제이콘컴퍼니
3173,19930115,리틀 빅 히어로,스티븐 프리어스,1993,19930410,장편,미국,드라마,(주)제이콘컴퍼니
3174,20156557,탐정 : 더 비기닝,김정훈,2015,20150924,장편,한국,코미디,(주)크리픽쳐스
3175,20145361,미니언즈,피에르 꼬팽,2015,20150729,장편,미국,애니메이션,(주)크리픽쳐스
3176,20149569,악의 연대기,백운학,2015,20150514,장편,한국,스릴러,(주)비에이엔터테인먼트
3177,20136888,강남 1970,유하,2014,20150121,장편,한국,액션,(주)모베라픽처스
3178,20143572,뷰티 인사이드,백,2015,20150820,장편,한국,판타지,(주)용필름
3179,20141962,이미테이션 게임,모튼 틸덤,2014,20150217,장편,영국,드라마,(주)팝콘에프앤엠
3180,20144682,샌 안드레아스,브레드 페이튼,2015,20150603,장편,미국,액션,(주)팝콘에프앤엠
3181,20148188,쎄시봉,김현석,2014,20150205,장편,한국,멜로/로맨스,유한회사 제이필름
3182,20157464,더 폰,김봉주,2015,20151022,장편,한국,스릴러,(주)미스터로맨스
3183,20145141,위플래쉬,다미엔 차젤레,2014,20150312,장편,미국,드라마,(주)미스터로맨스
3184,20145171,대호,박훈정,2015,20151216,장편,한국,사극,(주)사나이픽처스
3185,19880173,대호출격,유가량,1988,19880813,장편,홍콩,액션,(주)사나이픽처스
3186,19900288,대호출격 2,유가량,1990,19900908,장편,홍콩,액션,(주)사나이픽처스
3187,20122761,차이나 블루,김건,2012,20121213,장편,한국,드라마,(주)CMG초록별
3188,19930036,차이나타운 2,박우상,1993,19930508,장편,한국,액션,경인필름
3189,20140703,장수상회,강제규,2014,20150409,장편,한국,멜로/로맨스,(주)빅픽쳐
3190,20142855,성난 변호사,허종호,2015,20151008,장편,한국,범죄,씨제이이앤엠(주)
3191,20142402,간신,민규동,2015,20150521,장편,한국,사극,(주)수필름
3192,20143541,박물관이 살아있다 : 비밀의 무덤,숀 레비,2014,20150114,장편,미국,어드벤처,(주)수필름
3193,20157465,그놈이다,윤준형,2015,20151028,장편,한국,스릴러,상상필름(주)
3194,20143513,미쓰 와이프,강효진,2015,20150813,장편,한국,코미디,(주)영화사아이비젼
3195,20131262,허삼관,하정우,2014,20150114,장편,한국,드라마,(주)두타연
3196,20148461,살인의뢰,손용호,2014,20150312,장편,한국,범죄,(주)미인픽쳐스
3197,20060344,아주 특별한 손님,이윤기,2006,20061130,장편,한국,드라마,KBS N
3198,20159192,밤손님과 거유녀,하세가와 쿠니히로,2014,20151202,장편,일본,성인물(에로),조우필름(주)
3199,20144683,하트 오브 더 씨,론 하워드,2015,20151203,장편,미국,액션,조우필름(주)
3200,20151481,헝거게임: 더 파이널,프란시스 로렌스,2015,20151118,장편,미국,액션,라이온스 게이트 필름즈
3201,20158241,픽셀,크리스 콜럼버스,2015,20150716,장편,미국,액션,라이온스 게이트 필름즈
3202,20156748,열정같은소리하고있네,정기훈,2015,20151125,장편,한국,드라마,반짝반짝영화사(주)
3203,20145504,특종: 량첸살인기,노덕,2015,20151022,장편,한국,스릴러,(주)우주필름
3204,20140193,서부전선,천성일,2015,20150924,장편,한국,전쟁,(주)하리마오픽쳐스
3205,20156402,채피,닐 블롬캠프,2015,20150312,장편,미국,액션,유니버셜 픽쳐스
3206,20150501,극장판 요괴워치: 탄생의 비밀이다냥!,타카하시 시게하루,2014,20150722,장편,일본,애니메이션,유니버셜 픽쳐스
3207,20148841,헬머니,신한솔,2014,20150305,장편,한국,코미디,(주)전망좋은 영화사
3208,20144322,도라에몽 : 스탠 바이 미,야마자키 타카시,2014,20150212,장편,일본,애니메이션,(주)전망좋은 영화사
3209,20136063,순수의 시대,안상훈,2015,20150305,장편,한국,사극,㈜화인웍스
3210,20100981,살인의 강,김대현,2010,20100930,장편,한국,미스터리,(주)영화사홍
3211,19940323,순수의 시대 ,마틴 스콜세지,1993,19940917,장편,미국,드라마,(주)영화사홍
3212,20143511,오피스,홍원찬,2014,20150903,장편,한국,스릴러,(주)영화사꽃
3213,20153381,불륜의 오피스걸-유이,카이바라 크리스,2014,20150812,장편,일본,멜로/로맨스,(주)영화사꽃
3214,20155275,맛있는 정사: 오피스 와이프,김학묵,2015,20151117,장편,한국,멜로/로맨스,(주)케이알씨지
3215,20126145,오피스 걸의 불륜,타지리 유지,2009,20120504,장편,일본,성인물(에로),(주)케이알씨지
3216,20130021,"협녀, 칼의 기억",박흥식,2015,20150813,장편,한국,사극,(주)티피에스컴퍼니
3217,20130566,무뢰한,오승욱,2014,20150527,장편,한국,멜로/로맨스,(주)사나이픽처스
3218,19920121,신조협려-무뢰한,원규,1992,19920201,장편,홍콩,액션,(주)사나이픽처스
3219,19608108,4인의 무뢰한,조세프 페브니,1960,19710528,장편,미국,서부극(웨스턴),유나이티드 아티스트
3220,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,2015,20151210,장편,한국,애니메이션,(주)오콘
3221,20148553,내 심장을 쏴라,문제용,2014,20150128,장편,한국,드라마,(주)주피터필름
3222,20136057,소수의견,김성제,2013,20150624,장편,한국,드라마,(주)하리마오픽쳐스
3223,20147613,그레이의 50가지 그림자,샘 테일러-존슨,2015,20150226,장편,미국,드라마,(주)하리마오픽쳐스
3224,20163321,미스터 홈즈,빌 콘돈,2015,20160526,장편,영국,범죄,(주)하리마오픽쳐스
3225,20150470,라스트 홈,라민 바흐러니,2014,20160407,장편,미국,드라마,(주)버디필름
3226,20155826,치외법권,신동엽,2015,20150827,장편,한국,액션,(주)유니프로
3227,20143754,아메리칸 스나이퍼,클린트 이스트우드,2014,20150114,장편,미국,액션,(주)유니프로
3228,20151421,에베레스트,발타자르 코루마쿠르,2015,20150924,장편,미국,어드벤처,(주)유니프로
3229,20149401,스폰지밥 3D,폴 티비트,2015,20150218,장편,미국,애니메이션,(주)유니프로
3230,20157501,극적인 하룻밤,하기호,2015,20151203,장편,한국,멜로/로맨스,(주)연우무대
3231,20151815,뮨: 달의 요정,알렉상드르 헤보얀,2014,20150924,장편,프랑스,애니메이션,(주)연우무대
3232,20140144,도리화가,이종필,2015,20151125,장편,한국,사극,(주)영화사 담담
3233,20149037,주피터 어센딩,라나 워쇼스키,2014,20150205,장편,미국,SF,(주)영화사 담담
3234,20144523,패딩턴,폴 킹,2014,20150107,장편,영국,코미디,(주)영화사 담담
3235,20155881,오즈의 마법사: 돌아온 도로시,윌 핀,2013,20150212,장편,미국,애니메이션,(주)영화사 담담
3236,20157041,런 올 나이트,자움 콜렛 세라,2015,20150319,장편,미국,액션,(주)영화사 담담
3237,20100211,다이노 타임,최윤석,2012,20150430,장편,한국,애니메이션,주식회사 토이온
3238,20144461,인서전트,로베르트 슈벤트케,2015,20150325,장편,미국,SF,주식회사 토이온
3239,20156161,백 투 더 비기닝,딘 이스라엘리트,2014,20150226,장편,미국,SF,주식회사 토이온
3240,20143510,함정,권형진,2015,20150910,장편,한국,스릴러,(주)데이드림 엔터테인먼트
3241,20134207,벨벳키스-함정에 빠진 소악마,히로타 미키오,2013,20131031,장편,일본,성인물(에로),(주)데이드림 엔터테인먼트
3242,20149948,언브로큰,안젤리나 졸리,2014,20150107,장편,미국,액션,(주)데이드림 엔터테인먼트
3243,20141602,소셜포비아,홍석재,2014,20150312,장편,한국,스릴러,한국영화아카데미
3244,20155101,하늘을 걷는 남자,로버트 저메키스,2015,20151028,장편,미국,드라마,한국영화아카데미
3245,20142962,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,2014,20150114,장편,일본,애니메이션,한국영화아카데미
3246,20144442,조선마술사,김대승,2015,20151230,장편,한국,드라마,위더스필름(주)
