,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
103,20040616,가필드,피터 휴잇,20040819,2004,미국,코미디,87,전체관람가,빌 머레이,제니퍼 러브 휴잇,브레킨 메이어,이십세기폭스필름코퍼레이션
104,20040706,알렉산더,올리버 스톤,20041231,2004,미국,전쟁,175,15세관람가,콜린 파렐,안젤리나 졸리,발 킬머,워너브러더스사㈜
105,19960326,화니와 알렉산더 ,잉마르 베리만,19961116,1982,스웨덴,드라마,185,고등학생이상관람가,보르즈 알스테츠,해리엇 안데르손,,고몽
106,20132963,알렉산더 : 절대 영웅의 탄생,이고르 카리오노프,20130917,2008,러시아,액션,111,15세이상관람가,스베트라나 바쿠리나,이고르 보트빈,,(주)소나무픽쳐스
107,20113951,페이스메이커,김달중,20120118,2011,한국,드라마,124,12세이상관람가,김명민,안성기,고아라,(주)드림캡쳐
108,20150977,좋아해줘,박현진,20160217,2015,한국,멜로/로맨스,123,12세이상관람가,이미연,최지우,김주혁,리양필름주식회사
109,20137561,할매-시멘트정원,김지곤,20130829,2012,한국,다큐멘터리,63,15세이상관람가,,,,'탁주'조합
110,20126528,할매,김지곤,20130829,2011,한국,다큐멘터리,53,15세이상관람가,,,,'탁주'조합
111,20164825,에브리바디 원츠 썸!!,리차드 링클레이터,20160714,2016,미국,코미디,117,청소년관람불가,블레이크 제너,조이 도이치,글렌 포웰,(주)디스테이션
112,20165465,썸머타임: 아름다운 계절,까뜨린느 꼬르시니,20160623,2015,프랑스,멜로/로맨스,105,청소년관람불가,세실 드 프랑스,이지아 이즐랭,케빈 아자이스,주식회사 풍경소리
113,20165428,인썸니악: 사라진기억,몬티 미란다,20160614,2013,미국,범죄,94,청소년관람불가,대니 트레조,클레어 그랜트,,주식회사 루믹스미디어
114,20153182,썸니아,마이크 플래너건,20160525,2015,미국,판타지,97,15세이상관람가,케이트 보스워스,토마스 제인,제이콥 트렘블레이,(주)박수엔터테인먼트
115,20090683,500일의 썸머,마크 웹,20100121,2009,미국,드라마,95,15세이상관람가,조셉 고든 레빗,주이 디샤넬,제프리 아렌드,스네이크 프리뷰
116,19990059,텔미썸딩,장윤현,19991113,1999,한국,스릴러,116,18세관람가,한석규,심은하,안석환,쿠앤씨필름
117,20060164,착신아리 파이널,아소 마나부,20060622,2006,일본,공포(호러),103,15세관람가,호리키타 마키,구로키 메이사,장근석,씨제이엔터테인먼트
118,20050072,착신아리2,츠카모토 렌페이,20050429,2004,일본,공포(호러),106,15세관람가,요시자와 히사시,미무라,세토 아사카,가도가와픽쳐스
